original_text,translated_text_en
"Pada saya lah ,bagi banyak mana sekalipun bantuan ia tak kan mencukupi untuk semua,kalau nilai sesuatu barang melambung tinggi.,kalau boleh subsidi untuk barang terutama barang keperluan ditambah baik.barulah kuasa pembeli meningkat.","In my opinion, no matter how many the help is, it will not be enough for everyone, if the value of an item soars, if subsidies for items, especially essential items can be improved, then the buyer's power will increase."
"Perkara pertama bila beri gift mesti lah muka mahu senyum !! Ini nak senyum pun susah , memang tourist cop Tourism Malaysia tak friendly jangan marah plak !","The first thing when giving a gift is to smile!! It's hard to even smile, the tourist cop Tourism Malaysia is not friendly, don't get angry!"
"Aku terkena harga😂😂😂 menu dgn tanda harga x tulis letak ujung meja kecik ja tulis..roti jgon the king..nk try ambik dging Adik daging satu Bisa ke abg Ya biasa Okk Rm18 abg Hah😮😮😮 terkejut aku, Special 25 abg el Erkkk..ambik bayar belah teruis",I was hit by the price😂😂😂 menu with price tag
Penghargaan luar biasa sedagha😂😂😂😂,Amazing award sedagha😂😂😂😂
Di sebabkan budi Madani.. Harga petrol Ron 95 naik harga..,This was caused by Budi Madani.. The price of Ron 95 petrol has gone up..
saya cadang kan pm anuwar agar naik kan bantuan mykasih tu 50 s pada 200s sebulan tu supaya warga emas daat belanja banyak dan cukup 50s tu twrlalu sikit barang semua .nya melambung tinggi saya harap pm anuar naik kan 50 pada 200s itu yang saya .harap kan dari pm datuk anuar sekian ok,I suggest PM Anuwar to increase the mykasih's assistance by 50s to 200s a month so that the elderly can spend a lot and 50s is enough. It's too little for everything. It's so high. I hope PM Anuar increases it by 50s to 200s. That's what I'm doing. I hope from PM Anuar's grandfather that's ok.
Hahaha dea buat yg buat..dea yg jd hero😂..,Hahaha dea for those who made it..dea who became a hero😂..
Tiada keperluan utk tarik subsidi petrol utk golongan kaya. Sistem subsidi sedia ada sudah cukup bagus. Kerajaan perlu fokus utk tambah-baik kawal-selia dan kurangkan ketirisan petrol & diesel.,There is no need to withdraw petrol subsidies for the rich. The existing subsidy system is good enough. The government needs to focus on improving regulation and reducing the leakage of petrol & diesel.
Tekaan sabtu raya betul kemah,The guess of Saturday Raya is correct
Wang tunai atau EPF LULUS lain tak nak,I don't want cash or other PASSED EPF
Selamat hari raya Aidilfitri maaf zahir dan batin 😊,"Happy Eid al-Fitr, sorry outwardly and inwardly 😊"
Ingt ye semua mulut dia sendri ckp..isnin atau selasa😂😂🤣🤣,Remember that all his mouths are closed..Monday or Tuesday😂😂🤣🤣
Walaun tak nak cuti silakan kerja🎉🎉🎉,"Even if you don't want a holiday, please work 🎉🎉🎉"
6:14 saya pun suka nasi ayam,6:14 I also like chicken rice
Kalau kata org kaya bayar cukai patut depa DPT subsid.. Mcm mna pula org yang bayar cukai tapi xde lesen dia tak layak?apa beza nya.. Tetap kena byar cukai..,"If you say that rich people pay taxes, they should get DPT subsidy.. How about people who pay taxes but don't have a license, they don't qualify? What's the difference.. They still have to pay taxes.."
aje bajang kome duduk flat tak pa la org kg nk mesin rumput seminggu sekali nayer ler chorrrrrr qoper ini,aje girl come sit flat not pa la people kg nk lawnmower once a week nayer ler chorrrrrr qoper this
Multi drift *play deja vu*,Multi drift *play deja vu*
Pm Anwar pm paling teruk pru17 kita tukar pm,Pm Anwar's pm is the worst pru17 we change pm
Harap2 ada pengeluaran kwsp akaun 1.ini yg rakyatt mahuuu..,Hope there is withdrawal of kwsp account 1. This is what the people want..
10 biodata tentang faktaw.😂,10 biodata about facts.😂
Pengajaran mantap utk JPJ,Solid teaching for JPJ
Ok la sikit sebab platform 1A tak di pakai selamanya sekarang baru ada,"It's ok because the 1A platform hasn't been used forever, now it's just there"
org bgi kita ambil itu duit kita.time undi kita pangkah pas😂,"People who give us money, that's our money. It's time to vote for us"
Nuar situ2 gak pusing dia hahahah,"From there, he doesn't have any headaches hahahah"
Pernah beli roti John kat bazaar inti sos je,I once bought John's bread at the Inti Sos Bazaar
Kena hantar kedai buat *laminate* 🤑,Have to send the shop to make *laminate* 🤑
Saya kalo g PON cuma bli air dan kuih je kalau lauk pauk msk sendiri,"If I don't have PON, I'll just buy water and cake if I have my own side dish"
Siapa setuju pendapat uncle ni sila 👍,Who agrees with this uncle's opinion please 👍
Dia orang buat undang undang baru untuk dapat keuntungan untuk negara merekan tidak pandang kesusahan rakyat kita mahu orang muda masuk politik menyelamat negara,He is the person who made new laws to make a profit for the country. They don't look at the hardships of our people. They want young people to enter politics to save the country
Saman.. Lawan jgn tak lawan,Sue.. Fight don't fight
Bila last tahun diaorg buat insepction untuk track?,When did the inspection for the track last year?
Rafixi dah cadangkan dulu lagi..,Rafixi has suggested it again..
Mcm tulah apa yg pm2 rasa sblm ni pmx.semua negara terkesan dgn ekonomi.lain kali jgn janji mcm2 pmx.amin,That's what you guys feel before this pmx. All countries are affected by the economy. Next time don't promise like that pmx. Amen
Setuju guna myjpj saja,Agree to just use myjpj
Alhamdulillah telur turun 3 sen.RoN 95 turun 4 sen.,Alhamdulillah eggs went down by 3 sen. RoN 95 went down by 4 sen.
"Str bujang dgn secara tiber2nya stop bujang cuma dpt SARA RM50 WOW beli brg2 dapur,.sgt bijak dan madanon keputusan ini🤤","You are single and you can stop being single, you can only get SARA RM50 WOW, buy two kitchens,. very smart and madanon this decision 🤤"
😂 tak payahlah bangga setakat cuti tambahan tiada maknanya pun..apa pun selamat menyambut ulangtahun ketua menteri Sabah yg bakal di nantikan ❤❤❤.,😂 there's no need to be proud as long as the extra holiday doesn't mean anything.. anyway happy birthday to the chief minister of Sabah which is going to be looked forward to ❤❤❤.
Sori MLS nak layan,Sorry MLS wants to serve
Keperluan asas sebenar di pasar dekat BSN. Bukan di Pasaraya. Di pasar guna IC ke?,Real basic needs in the market near BSN. Not at the supermarket. In the used IC market?
Yang komen sini semua t20 ke😂😂 t20 takde masa nak komen mengeluh mcm dalam komen ni,Those who comment here are all t20 😂😂 t20 don't have time to comment and complain like in this comment
"Ha ha ha ha ha, cuma yang Arif yang adil.. Wow..","Ha ha ha ha ha, only the Arif are fair.. Wow.."
"Sini ok je pun isi di gelen, tapi tidak boleh lebih 20 liter. Untuk motor, mesin rumput, chainsaw. Mungkin dia jual balik.","Here it's ok to fill in gallons, but it can't be more than 20 liters. For motorcycles, lawn mowers, chainsaws. Maybe he sold it back."
cuti tambah blum tentu kilang kt Malaysia tambah cuti,holidays plus blum of course factories in Malaysia plus holidays
Aku yg penerima str bujang pun tk dapat sara..B40,"Even I, the bachelor's str recipient, didn't get sara...B40"
"ingat kawan2, tahun ni subsidi t20 ditarik, tahun depan subsidi m40 ditarik, last2 b40 je yg blh subsidi","Remember guys, this year the T20 subsidy will be withdrawn, next year the M40 subsidy will be withdrawn, lastly the B40 subsidy will be the one that gets the subsidy"
Daftar je nti apa2 hal dia org senang carik ko kt umh😂,Just register so that people are happy to find things out for you umh😂
Klau korang perasan lpas COVID mgkin ramai org2 baru meniaga..,"If you have noticed that after COVID, more and more people are new to business.."
"Klang, shah alam puchong subang pj bandar sungai long elmina ampang, taman muda hospital ampang bandar baru ampang hulu klang bukit antarbangsar kapar puncak jalil puncak alam bukit jelutong setia ALAM kota kemuning pandan perdana, pandan prima, pandan utama shamelin perkasa kg cheras baru desa pandan, desa tasik desa tun razak desa petaling alam damai damai perdana pulau indah hulu langat kuala langat kuala selangor hulu selangor hulu langat kuala langat semenyih bangi kajang cheras hartamas pudu ulu rawang selayang banting sungai pelek tanjubg sepat sungai besar sri kembangan/ serdang dont have any lrt mrt stn","Klang, shah alam puchong subang pj town sungai long elmina ampang, youth park ampang hospital new town ampang hulu klang bukit antarbangsar kapar peak jalil peak alam hill jelutong setia ALAM kota kemuning pandan pandan, pandan prima, pandan utama shamelin perkasa kg cheras baru pandan village, village lake village tun razak village petaling nature peace damai perdana island indah hulu langat kuala langat kuala selangor hulu selangor hulu langat kuala langat semenyih bangi kajang cheras hartamas pudu ulu rawang selayang banting river pelek tanjubg sepat big river sri kembangan/serdang dont have any lrt mrt stn"
"Ko pusing sana sini,,Rakyat nak ko letak jawatan.","I'm turning here and there, The people want me to resign."
owg bln puasa byk berjimat..masak sendirilah.. masa nee tunjuk skill memasak..x pun berbuka dimasjid jaa..mknan byk lagi sdpx ..,"owg, don't fast during the month, save a lot.. cook by yourself.. time to show your cooking skills.. don't even break your fast in the mosque.. eat more sdpx.."
Tambah str 1000 sorang ke? Macam gempak je,Add str 1000 people? It's like being tall
nak buat duit..bro..ada lah pembekal..yg senyum,want to make money..bro..there is a supplier..who smiles
Duit duit mana poket saya masuk duit duit,Where is the money in my pocket?
Tu pasal tetiba je ribut dtg sampai terangkat terbalik canopy korang berniaga. Salah satu sebab..,It's about a sudden storm that lifts your business canopy upside down. One of the reasons..
Dalam masa 1 bulan 2 kejadian😵💫😵💫😵💫,Within 1 month 2 incidents 😵💫😵💫😵💫
Jangan kita salahkan peniaga kerana kita semua tahu kos umrah sekarang ini semakin mahal tambah tambah lagi bila pegi umrah balik hari. Saya percaya peniaga-peniaga yang terlibat memang menyimpan cita-cita untuk pegi umrah balik hari. Justeru kita hendaklah menerima dan teruskan membeli supaya cita-cita mereka tercapai. 😆😆😆✌,Let's not blame the traders because we all know the cost of umrah is getting more and more expensive now when going for umrah the next day. I believe that the traders involved really have ambitions to go for Umrah the next day. Therefore we should accept and continue to buy so that their ambitions are achieved. 😆😆😆✌
Sara bukan saja bantu B40 tapi keuntungan pada peniaga terpilih,Sara not only helps B40 but profits for selected traders
"Best nya.. Beberapa tahun yg lalu, saya pergi merayau ke Dabong dari Gua Musang. Saje nak tengok apa ada di Dabong. Pekannya comel je. Masa tu, station minyak pun takde 😂.","The best.. A few years ago, I went wandering to Dabong from Gua Musang. I just want to see what's in Dabong. The town is cute. At that time, there wasn't even a gas station 😂."
haha.. mcm2 laaaa dah canggih kembali zaman lama,haha.. it's so sophisticated back in the old days
Isnin / selasa gula2 naik harga😅,"Monday / Tuesday, the price of sugar will go up😅"
"Pendapatan T20 x jauh beza dgn M40.. Husband wife professional jadi T20 la tp klu dh semua subsidi x layak, baik yg wife resign, boleh tumpu ank2 dan rumahtangga.. Lain la klu T10 baru la betul2 kaya..","T20's income is far different from M40.. Husband wife is a professional so T20, but if all the subsidies are eligible, even if the wife resigns, she can focus on her children and the household.. It's different if she's just T10, she's really rich.."
"Terima kasih ASTRO AWANI. Semua rakyat ada hak yang sama. Semua patut dapat subsidi. Asal ada lesen yang masih sah. Tiada beza kaya miskin dan tua muda. Semua rakyat, kaya miskin dan tua muda bayar cukai. Semakan ChatGPT (bertaip dan infografik), semua rakyat kena bayar cukai, bayi (lampin, susu, dokumen..) sampai meninggal (urusan si mati, dokumen..). Setiap saat, cukai sentiasa aktif. Maaf, pendapat peribadi saya sahaja. Betulkan jika saya silap. Mohon mencadangkan. 11/5/26","Thank you ASTRO AWANI. All people have the same rights. Everyone deserves a subsidy. As long as there is a valid license. There is no difference between rich and poor and old and young. All citizens, rich and poor and young and old pay taxes. ChatGPT review (typed and infographics), all citizens have to pay taxes, babies (diapers, milk, documents..) until they die (deceased affairs, documents..). At every moment, the tax is always active. Sorry, just my personal opinion. Correct me if I'm wrong. Please suggest. 11/5/26"
Rakyat menunggu PM letak jawatan,The people are waiting for the PM to resign
Nanti sebelum raya kerajaan masukkan satu juta satu orang ke akaun rakyat yang ada bantuan STR ke dlm akaun seluruh rakyat Malaysia.biar senang hati seluruh rakyat ambil cuti seberapa hari kerajaan nak umumkan cuti.,"Later, before Raya, the government will enter one million people into the people's accounts that have STR assistance into the accounts of all Malaysians. Let all the people be happy to take holidays as many days as the government wants to announce holidays."
mintak sabtu yee raya,ask for saturday yee raya
Sistem lapuk xberguna.. Org pulak xdeh tanggungjawab😂😂😂,Outdated system is useless.. Org is not responsible😂😂😂
Singapore indonesia raya sabtu,Singapore Indonesia Raya Saturday
Ban saja lah peniaga mcm ini..mana boleh jadi mcm ini..mebazirkan Wang rakyat,Just ban this kind of dealer..how can it be like this..wasting people's money
Kawan saya beli nasi dagang macam nasi minyak lepastu ayam pehe kecil,My friend buys commercial rice like oil rice and then small pehe chicken
Senang citer.. x pyh beli.. masak sendiri lg bgus.. x sedap pun x pa.. atleast kita sendiri yg mkn..,Love it.
Bangsa asing China terus berkerja.melayu terus berdemo supaya meskin sampai mati,Chinese foreigners continue to work. Malays continue to demonstrate so that the poor will die
Sabtu ok boleh push up lagi,Saturday ok can push up again
Cuti banyak saya punyak anak belajar,I have a lot of time off and my children study
Alhamdulilah ya Allah masih bisa puasa,"Thank God, I can still fast"
Pak cik nak kena tukar ke?,Do you want to change it?
"Di Malaysia tak ade orang miskin, negara kaya, tengok tu Konoha rakyatnya menjerit.","In Malaysia there are no poor people, rich countries, look at Konoha the people are screaming."
"Seluruh dunia berhati Malaysia, iku kata Anwar🤣🤣🤣🤣","The whole world has Malaysian hearts, that's what Anwar said 🤣🤣🤣🤣"
"Belah loqstaq ni,depa juai mahai jugak..kadang tu alasan depa,sewa tapak mahai nak mam..tapi betoi,orang hat ada duit ni,depa beli tapak berapa ja wei,tapi buat sewa kat orang,mahai ya rabbi..(tak semua la,tapi ramai)","Belah loqstaq ni,depa juai mahai jugak..kadang tu alasan depa,sewa tapak mahai nak mam..tapi betoi,orang hat ada duit ni,depa beli tapak berapa ja wei,tapi buat sewa kat orang,mahai ya rabbi..(tak semua la,tapi ramai)"
Allahamdulilah bebaya jua raya atu..,Allahhamdulillah bebaya jua raya or atu..
dh kne bru2 ni mertabak xde isi daging lngsung bwang yg bnyk dgn telur x brbaloi dgn hrga yg mahal,dh kne bru2 mertabak xn't fill with meat straight away with a lot of eggs xn't worth the expensive price
Letak jawatan lah..Rakyat dah hilang kepercayaan kamu tak pandai urus hal Rakyat.,"Resign.. The people have lost their trust, you are not good at managing the affairs of the people."
Peliknya kesian orang beli nak makan buka puasa tak takut ke rezeki tu haram jadinya,"It's strange, it's a pity that people who buy to eat if they break their fast are not afraid of the sustenance, it is haram"
Orang kaya dan sederhana juga dapat sara 100 harus serah kepada orang orang miskin..sokong👈,Rich and simple people can also support 100 should give it to the poor.. support👈
Ke abang nak makan,My brother wants to eat
Kurangkan perrgerakan badan ke kiri Dan ke kanan.,Reduce body movement to the left and to the right.
"beruntung duduk dekat kampung aku ni,dekat sini makcik2,pakcik2 and peniaga yang jual kuih Dan lain2 makanan,semua sedap2 and murah,takde lagi aku beli kuih sebiji RM2,dekat sini rata-rata RM2 dapat 4 biji kuih 1 bekas,macam2 kuih ada,semuanya sangat layak untuk di makan.dah 2 tahun aku tak pernah ke bazzar Ramadan dekat pekan,sebab dekat kampung aku dah complete hampir semua ada..","I'm lucky to live near my village, there are aunties, uncles and traders who sell cakes and other food, they are all delicious and cheap, I can't buy a cake for RM2 anymore, near here it's an average of RM2 to get 4 cakes in 1 container, there are all kinds of cakes, they're all very worthy to eat. I haven't been to a Ramadan bazaar near the town for 2 years, because near my village, almost everything is there.."
Banyak sangat sistem. Link lah bersama JPJ atau polis.,There are so many systems. The link is with JPJ or the police.
diteruskan tp dikurangkan STR..puii,continued but reduced STR..puii
Sabtu Raya esok niaga😮😮,Saturday Raya business tomorrow 😮😮
Kasi Sabtu lah.. kelam kabut aku mau atur manpower staff.. 🥱,Thank you for Saturday.. it's dark and foggy. I want to arrange the staff's manpower.. 🥱
"Kite harus bangge Ringgit kite berjaye.. Kalau beras mahal, kite boleh makan ubi kayu. Kalau bahan api mahal, kite boleh naik bysikal. Tengok Konoha rupiah teruk sangat walaupun warga Konoha kenyang makan nasi, beras murah dan kebutuhan murah, walaupun warga Konoha bahan api tak naik seperti kite. Kita tetap bangge ringgit berjaye dan naik walaupun warga mengeluh dan hidup sulit kite tetap takboleh marah karena kite patik2 raje. Walaupun raje kite takde guna. Kita tetap bangga Ringgit kite berjaye..","We have to be proud of our Ringgit to win... If rice is expensive, we can eat cassava. If fuel is expensive, we can ride a bicycle. Look at Konoha, the rupiah is really bad even though the people of Konoha are full of rice, cheap rice and cheap necessities, even though the people of Konoha fuel is not rising like us. We are still proud that the ringgit is successful and rising, even though people complain and life is difficult, we still can't be angry because we are diligent. Even if we are diligent, it's useless. We are still proud that our Ringgit won.."
Gaji x de..tgh bln dah ni..,The salary is not there.. it's already been a month..
Cakap je Allah nampak haha😂,Just say God sees haha😂
Pencen itu yg perlu dimansuhkan,The pension that needs to be abolished
Tarik semua pencen Org Politik la. Nk pencen bnyk2 buat apa? Org Politik punca Negara ni melarat.,Withdraw all pensions of Political Organizations. What do you do with a lot of pension? Politicians are the cause of this country's impoverishment.
Terima kasih YAB Perdana Menteri 🥰,"Thank you, Prime Minister"
Baca la seksyen 64 APJ 1987..kuasa2 utk tahan.,Read section 64 APJ 1987..power to hold.
padu dapat bantuan.. walanon yg korang hina ni jugak banyak bagi bantuan.. tapi sayang Klau org hati dah hitam beletam ni susah nak ckp..,"Good luck getting help.. even those you despise give a lot of help.. but dear, if you have a black heart, it's hard to help.."
TENGOK SIAPA KAH MEREKA..MEMALUKAN,LOOK WHO THEY ARE.. SHAMEFUL
"hari haya jatuh pda hari, tgl berapa?",Hay Day falls on what day?
"Assalamualaikum, jom geng kita zikir bersama, Subhanallah Alhamdulilah Allahuakbar ☝️ Free 🇵🇸 SAVE Gaza SAVE 🇱🇧☪️ Allahumma Solli'ala Saiyyidina Muhammad Wa'ala Ali Saiyyidina Muhammad 💕","Assalamualaikum, let's our gang remember together, Subhanallah Alhamdulilah Allahuakbar ☝️ Free 🇵🇸 SAVE Gaza SAVE 🇱🇧☪️ Allahumma Solli'ala Saiyyidina Muhammad Wa'ala Ali Saiyyidina Muhammad 💕"
Kasi kurangkan subsidy je utk semua org to 100 liter je,Please reduce the subsidy for all people to 100 liters only
Umum Letak jawatan itu berita paling baik.,General Resignation is the best news.
"Simpan lama kat stor sebab kalau kereta atau motosikal ada banyak jajan mereka kasi rembat dulu barang2 semua,lepas tu baru pulangkan pada tuan punya lepas bicara mahkahmah.","Store it in the store for a long time because if there are a lot of snacks on the train or motorbike, they will give you a discount on all the items first, then return it to your master and then talk to the court."
"Batalkan semua subsidi kepada semua rakyat termasuk B40, senang cerita","Cancel all subsidies to all citizens including B40, easy story"
20L maksimum kalau nak isi tong,20L maximum if you want to fill the barrel
Perniaga yg menipu.. Rezeki yg dia dapat adalah HARAM dan tak BERKAT,Deceptive business.. The sustenance he gets is HARAM and not BLESSED
"Vitamese roll tu mungkin plastic nya mungkin plastic biasa kot,warna transparent","The Vitamese roll may be made of plastic, maybe ordinary plastic, transparent in color"
Pmx boleh dh buat/ wujudkan semula outlets runcit mcm KR1M n juga klinik rakyat mcm klinik 1M krna ia terbukti benarw bermanfaat kpd rakyat bawahan/marhaen..,Please can you create/re-create retail outlets like KR1M and also people's clinics like 1M clinics because it is proven to be really beneficial to the subordinate/marhaen people..
Bantuan ni xmelibatkn walaun kan..😊😊,Help me involve you though..😊😊
saya beli karipa cube rupene koso,I bought karipa cube rupene koso
E wallet 50 keluarga madanon,E wallet 50 is available
air sirap rasa air putih?,white water flavored syrup?
Takde masalah nk tukar str bujang ke sara. Tapi jenis barang tu bebas la.,There is no problem to change from single to sara. But that kind of stuff is free.
🤣🤣🤣🤣Dengar Boleh..Percaya Jangan sesekali,🤣🤣🤣🤣 Listen OK..Believe Never
Dah umum minit 12:52,It's public at 12:52
Naikkan gaji pekerja swasta dan Naikkan wang str,Increase the wages of private workers and Increase the str money
Str bagi golongan bujang yg dipertikaikan hanya Rm 50 sahaja,Str for singles who are disputed is only Rm 50
"Bantuan sara utk perdaya dn tipu daya rakyat guna wang pembayar pajak(taxes payers money) dn wang negara utk jadi umpan beracun utk kepentingan diri sendiri anuar dn kroni2nya pertahankn kuasa utk sakau wang kerajaan. Rakyat boleh ambil wang sara terutama orang2 kaum melayu, tp jgn pangkah calon2 ahli parlimen drpd PKR, UMNO, DAPigs, Amanah pada PRN dan PRU16. Orang2 yg pilih calon2 parti2 munafikun jadi pemimpin mrk adalah orang2 yg xtakut akan AZAB ALLAH SWT (Baca dn Pahami apa yg terkandung dlm wahyu Allah SWT dlm *Surah Munafikun* dlm pilih pemimpin, biar kita semua selamat drpd azab Allah SWT selepas kematian, krn melanggar Layangan-Nya. Insha Allah.","Subsistence aid for deception and trickery of the people using tax payers money and state money to become poisonous bait for the self-interest of Anuar and his cronies to maintain power for the sake of government money. The people can take stipends, especially the Malays, but don't vote for the parliamentary candidates from PKR, UMNO, DAPigs, Amanah in PRN and GE16. The people who choose the candidates of the hypocritical parties to be our leaders are the people who are afraid of ALLAH SWT'S PUNISHMENT (Read and understand what is contained in the revelation of Allah SWT in *Surah Munafikun* in choosing leaders, let us all be safe from the punishment of Allah SWT after death, because we violate His Kite. God willing."
baik la mcm pm najib..dia buat kdai rncit 1mlysia brng tmpatan hrga berpatutan..brim pun dpat..bru la balance..,it's good like pm najib..he made a local retail store in 1mlysia with a reasonable price..brim is also available..bru la balance..
Semasa Ramadan pun jual makanan macam ni.. 🤦 tiada berkat kepada si penjual..,"Even during Ramadan, this kind of food is sold.. 🤦 there is no blessing for the seller.."
yang rohinya tayar tiga takyah lesen kesana kemari.pendatang haram berkeliaran atas jalan takda lesen road tax bagai..banteras yg tu dulu baru sembang,the one with three tires doesn't have a license here and there. Illegal immigrants are roaming on the road without a road tax license.
Sedapnya kopi di pagi ni..👍👍👍,The coffee is delicious this morning..👍👍👍
Cjeah janson have hiv kena from thai trangender marrie dan tan si cin juga,Cjeah Janson has HIV from Thai transgender Marrie and Tan Si Cin too
"Nak guna utk mesin rumput, chainsaws pun tak blh ka??","Do you want to use it for lawn machines, chainsaws too??"
"Malay no lah, Indon lebih majuu","Malay no, Indon is more advanced"
1 syawal kita raya..,1 syawal we celebrate..
Salam semua satu Malaysia,Greetings to all Malaysians
Saya pun pernah kena sita moto setahun baru nak ambik balik moto brrjemur matahari warna pudar lepas tu kena servis baru moto boleh start diaorang tak kisah pun pasal motor atau kenderaan kita yang tersidai kejamnya 😂,"I also had to confiscate my motorbike a year ago to take back my motorbike in the sun, the color faded, then I had to service it and the motorbike could be started, he didn't even care about our motorbike or vehicle that was brutally damaged 😂"
ramai yang marah tapi ramai juga tg sayang terbaik pmx,many are angry but many also love the best pmx
"Saya menonton videonya,Saya dari Daerah Sarawak_Negara Malaysia.","I watched the video, I'm from Sarawak District_State of Malaysia."
Assalamualaikum kami orang bujang ada tanggungjawab kami ada yang sakit tak boleh bekerja memerlukan kewangan sendiri kerana tidak dapat bekerja takkan nak menyusahkan orang tua sekurangnya dapat sikit pun okeylah orang bujang langsung tak dapat betul-betul tak adillah,"Assalamualaikum, we single people have responsibilities, some of us are sick and can't work, we need our own finances because we can't work, we don't want to trouble our parents, at least we can get a little, it's okay, single people can't get it at all, it's not fair"
Ubah ler ubah rakyat dh penat dh..jngn cakap je tapi tunaikan lagi elok kalau umum kenaikan harga barang di batalkan dan dijalan seperti sedia kala bru cun melecun okk madani,"Change it, change it, the people are tired.. don't just say it, but implement it. It would be better if the general increase in the price of goods is canceled and the road goes on as it was when the bruh cun melecu okk madani"
tarik segala subsidi. lepas tu announced bantuan akan tibaa. 🤣,withdraw all subsidies. then it was announced that help would arrive. 🤣
"*🎉🎉🎉JIKA NALAYAN NAK KENA PAKAI TONG, TAK KAN NAK ANGKUH ENJIN BOAT PI PETROL STATION, NATIZEN KERJA NAK VAIRAL JE 😂😂😂*","*🎉🎉🎉 IF NALAYAN WANTS TO USE A BARREL, HE DOESN'T WANT TO DRIVE A BOAT ENGINE AT THE PETROL STATION, JUST GO VIRAL AT WORK 😂😂😂*"
"Alhamdulillah. anok2 setang hadi awang ni smpai kiamat tkkn bersyukur. dajjal dia si tua kuty, iblis dia lebai2 syiah pn. setang2 dia walaun. elok lah tu. puak2 munafik berlebai. perngai mcm abu jahal.","Alhamdulillah. You are not grateful until the end of the day. dajjal is the old kuty, the devil is the shia pn. he's still there though. that's good. hypocrite factions abound. It's like stupid ash."
Penghargaan luar biasa dia umum kunyit turun harga sekilo 2 sen dalam tempoh 24 jam.penghargaan luar tabi'' betul la,"Extraordinary appreciation, he announced that the price of turmeric dropped by 2 cents per kilo within 24 hours. It's an extraordinary appreciation, right?"
Saya pernah beli tepung pelita tapi dalam tu ada getah patutlah rasa nya uuummmm😅😅,"I once bought lamp flour but there was rubber in it, it should taste like uuummmm😅😅"
Cuba lah masuk di Bnk. Macam2 boleh beli ubat,Try entering at Bnk. How can you buy medicine?
Lepas tu stuck je semua 1 apps pakai🤣,"After that, all 1 apps are stuck 🤣"
str lagi bagus dari sara kerana rakyat boleh buat pilihan sendiri apa yg sebaik baiknya. tunggu kau pru nanti nuar..,str is better than sara because the people can make their own choice of what is best. wait for you pru later nuar..
"Masalahnya negara lain berdepan kenaikkan kos sara hidup kerana kos asing tapi di Malaysia Kenaikan Kos Sara Hidup disebabkan kerajaan 'Mad'DaNi yg sengaja menaikkan cukai2 barangan, menaikkan tarif elektrik dan menarik pelbagai subsidi yg dinikmati rakyat.. Akibatnya harga2 barangan dan perkhidmatan meningkat yg kesan akhirnya tetap pergi kepada rakyat semua.. Bang Bang Bang Non Bangang!!","The problem is that other countries are faced with an increase in the cost of living due to foreign costs, but in Malaysia the increase in the cost of living is due to the 'Mad' DaNi government that deliberately increases taxes on goods, increases electricity tariffs and withdraws various subsidies enjoyed by the people.. As a result, the prices of goods and services increase which ultimately goes to all the people.. Bang Bang Bang Non Bangang!!"
Awal nak umum.. Umum sabtu pagi ni lah,It's early to announce.. It will be announced this Saturday morning
Bubarkan saja JPJ. Pakai undang- undang suka hati hang.,Just dissolve JPJ. Use the law as you please.
"Sara rm100 ke rm50, penerangan biar jelas pmx. Sbb ramai yg dah buat semakan, LAYAK tp amount rm50.","Sara rm100 to rm50, clear explanation pmx. Because many people have already made a review, it is eligible but the amount is rm50."
Dah lulus cuti 20 mac hari jumaat - 26 mac Khamis. Kalau nak bg cuti tambahan bg lah hari khamis 19 mac 😂,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Cok2 ada lah solution.. Sampai Abg Jamil mampos..,Cok2 there is a solution.. Until Mr. Jamil comes to his senses..
Patut nya lesen kena ada gmbar,The license should have a picture
Senang macam ni tak payah guna akaun dan password banyak-banyak.,It's nice that you don't have to use a lot of accounts and passwords.
Rasuah - Binasa satu negara ..,Corruption - Ruin a country..
"Klu betul tengok anak bulan, raya Sabtu.","You are right to see the moon, Raya Saturday."
saya suka makan kulit karipap 😅😂 tak suka inti dia pelik tapi benar 😂,"I like to eat curry skin 😅😂 I don't like the core, it's weird but true 😂"
"Terbaik MOF, please closely monitoring Mycard holders dekat sempadan THailand yang pakai Ron95 Subsidised Petrol secara Maxima sedangkan cuma memiliki satu dua kenderaan atau motorsikal dan juga e-hailing drivers milleages vs petrol consumption tally or x tally ? Semua Towns sebelah Thailand guna subsidised petrol dari Malaysia samaada masuk ke Malaysia utk pam minyak atau seludup minyak melalui Mycard holders.☹","Best of MOF, please closely monitor Mycard holders near the Thailand border who use Ron95 Subsidized Petrol in Maxima when they only have one or two vehicles or motorcycles and also e-hailing drivers millages vs petrol consumption tally or x tally? All Towns on the Thai side use subsidized petrol from Malaysia whether entering Malaysia to pump oil or smuggle oil through Mycard holders.☹"
"Assalam. Keperluan asas sebenar ialah ikan, ayam, beras, sayur, buahan, gula, serbuk teh dan kopi. Sayur, buahan, ikan segar, ayam segar tidak ada pun termasuk dalam barang-barang MyKasih SARA. Lari dari barangan keperluan asas sebenar. Saya bukan banyak makan telur ayam..😊","Hello The real basic needs are fish, chicken, rice, vegetables, fruits, sugar, tea powder and coffee. Vegetables, fruits, fresh fish, fresh chicken are not even included in MyKasih SARA items. Run away from real basic necessities. I don't eat a lot of chicken eggs..😊"
